,int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
7297,0.1136,10.71441777,18.83,692,5190.0,1,0,0
5328,0.1357,10.49127422,7.83,667,3509.958333,0,0,0
3491,0.1189,10.62861778,18.65,707,5579.958333,1,0,0
5200,0.1253,10.23995979,10.93,707,1950.0,2,0,0
9427,0.1496,10.91508846,21.36,672,7800.041667,0,1,0
8999,0.1442,9.852194257999999,24.0,672,2520.0,4,0,0
2876,0.0768,10.81977828,11.59,722,2130.0,2,0,0
5482,0.1357,11.30220443,0.81,752,4770.0,7,1,1
8962,0.1663,10.48391386,1.51,707,690.0416667000001,0,0,1
3354,0.1442,10.87804719,13.86,662,2970.0,0,1,0
5028,0.1183,10.412591699999998,9.56,747,3300.0,0,0,0
6321,0.1287,10.46310334,21.36,687,2191.0,0,0,0
4442,0.0859,9.472396897000001,0.0,727,6540.0,2,0,1
3021,0.0932,10.89673933,6.58,787,5340.0,0,0,0
1884,0.0963,11.60823564,18.41,737,3481.041667,1,0,1
3842,0.1221,10.59663473,13.26,692,3630.0,0,0,0
6465,0.0859,10.46310334,14.84,737,3450.041667,2,0,0
4309,0.1843,11.35040654,12.51,667,2580.0,0,0,0
2919,0.08,11.28978191,7.75,757,3059.958333,0,0,0
546,0.1103,10.62132735,16.92,682,1560.0,1,0,0
2922,0.0768,10.37349118,15.0,782,3485.0,0,0,0
7763,0.1501,11.28978191,3.11,672,3570.0,6,1,1
8334,0.1229,11.26446411,8.15,667,2819.041667,6,1,1
8235,0.1829,12.83201108,8.52,652,5039.041667,4,0,1
3770,0.1695,12.37581542,11.67,667,3869.958333,0,0,1
3542,0.1126,10.645424900000002,12.06,742,6059.958333,1,0,0
1656,0.1083,10.23995979,12.3,742,4500.041667,2,0,0
95,0.0775,10.71441777,5.0,762,2131.0,2,0,0
4704,0.1496,10.645424900000002,4.46,672,1769.9583329999998,0,0,1
6212,0.1913,10.91508846,2.38,717,4740.0,0,0,0
3392,0.08,9.917390458,8.64,767,4529.958333,0,0,0
311,0.1393,10.54534144,20.72,662,7109.041667,1,1,1
7887,0.1312,10.46310334,3.94,647,1739.9583329999998,0,2,0
8200,0.1804,11.31447453,20.96,657,6360.041667,3,2,0
2068,0.0932,10.81977828,0.36,777,3092.041667,2,0,0
8450,0.1418,12.429216199999999,19.09,692,10259.95833,1,0,0
3333,0.1095,11.10495723,19.87,732,3419.958333,2,0,0
7873,0.1407,10.08580911,12.55,647,2220.0,9,0,1
4069,0.0737,10.50506754,18.15,797,7620.0,0,0,0
7526,0.1273,11.26446411,16.15,697,2400.041667,3,0,0
8398,0.16399999999999998,10.53688473,24.71,652,3300.0,14,0,0
2984,0.1442,10.91508846,23.41,682,3419.958333,0,0,0
3981,0.1316,11.35040654,18.31,702,3240.0,1,0,0
8991,0.1411,10.858999,11.28,677,1559.958333,4,0,0
5261,0.0774,11.36261407,16.39,752,5580.0,0,0,0
410,0.1236,11.35040654,21.8,677,5069.0,1,0,0
7706,0.1739,11.03488966,13.51,697,4350.0,3,1,1
4949,0.1531,9.61580548,6.8,667,1110.0,1,2,0
5453,0.1774,10.71441777,10.35,667,4289.958333,0,0,0
1790,0.1158,10.23981692,20.75,717,2716.041667,0,0,0
1242,0.1128,10.47728798,22.78,702,3871.958333,1,0,0
2455,0.0963,10.77895629,24.52,742,3029.958333,1,0,0
3685,0.1411,10.71441777,11.55,682,9420.0,0,0,0
4029,0.1189,10.77895629,23.55,712,1890.0,0,0,0
5107,0.1114,11.28978191,9.81,727,3239.958333,3,0,0
3275,0.1253,10.1266311,12.53,692,2850.0,2,0,0
5549,0.1183,11.71993963,15.88,722,7442.0,2,0,0
4570,0.1357,11.50795312,13.28,682,5399.958333,2,0,0
8928,0.1821,10.91501573,13.46,687,2610.0,9,0,0
4328,0.1704,11.15247196,0.0,697,8370.0,0,1,0
8454,0.1608,10.645424900000002,18.94,652,4139.958333,1,0,0
2886,0.1189,10.46321762,11.55,737,1889.9583329999998,2,0,0
4157,0.1426,10.858999,19.68,687,3313.0,1,0,0
8035,0.1249,10.59663473,0.45,667,810.0416667000001,1,0,0
2025,0.1189,11.00209984,12.42,717,2370.041667,3,0,0
4560,0.1322,10.49949037,13.49,682,2729.958333,0,0,1
9553,0.1385,11.77528973,10.8,697,4110.0,4,0,0
3941,0.1284,9.472704636,0.0,717,1440.0,3,0,1
5679,0.2121,11.73606902,19.87,662,7920.0,1,0,1
7612,0.1348,10.62861778,13.8,687,4080.0,0,0,0
4283,0.1704,12.13598274,12.5,702,6510.0,0,0,1
336,0.1236,10.727663,15.53,677,1848.0,1,0,0
2397,0.1442,10.08580911,13.5,692,2640.0,1,0,0
8271,0.1261,11.14186178,23.62,712,7440.041667,0,0,0
5892,0.1114,10.82972862,20.29,757,3270.0,0,0,0
610,0.0976,10.16585182,5.77,777,4560.041667,1,0,1
798,0.1008,11.88448902,1.73,762,7769.958333,1,0,0
2867,0.1411,11.60823564,13.18,702,5579.958333,0,1,0
3132,0.1189,11.00209984,12.06,692,3749.958333,1,1,0
4403,0.1253,11.00209984,19.32,717,3600.0,1,0,1
6170,0.1218,10.81977828,14.83,692,2250.041667,1,0,0
1490,0.1241,9.998797732,11.73,677,3539.958333,3,0,1
7609,0.1719,10.30895266,22.29,662,1554.0,1,0,0
1176,0.0832,10.33501019,10.13,742,4307.0,3,0,0
3679,0.1442,11.00209984,8.0,677,3059.958333,3,0,0
3984,0.1357,10.30895266,10.84,677,2670.0,1,0,0
5590,0.16,11.98292909,5.31,717,5970.0,0,0,0
9201,0.1148,10.63585545,16.07,737,4499.958333,4,0,1
1892,0.1347,11.05089001,12.93,712,6553.0,3,0,0
5369,0.1218,11.59542669,12.25,727,6035.0,1,0,0
79,0.1091,9.798127037,18.0,707,2192.0,1,0,0
5629,0.1218,10.59663473,16.14,707,2947.041667,0,0,0
6468,0.1114,9.873234509,13.17,732,2550.0,3,0,0
2241,0.1474,11.05089001,15.47,677,5250.041667,1,0,0
7815,0.0838,9.903487553,6.72,732,3149.958333,9,0,0
2644,0.0737,11.08220409,2.77,727,5219.958333,1,0,1
4027,0.1095,10.57131693,14.65,727,2399.958333,0,0,0
7181,0.1062,11.03488966,18.29,712,3000.0,1,0,0
6556,0.1114,11.51292546,17.01,767,5820.0,2,0,0
1187,0.0832,10.81977828,2.42,762,3180.0,0,0,0
1205,0.1159,10.62609644,11.91,682,4650.0,1,0,0
2581,0.0768,11.35040654,16.72,777,9630.958333,2,0,0
5760,0.1426,10.75739211,22.84,677,5250.041667,1,0,0
3605,0.0768,10.74343705,8.96,757,8519.958333,1,0,0
6225,0.1357,11.70354582,23.83,692,6965.0,1,0,0
8185,0.1362,10.08580911,10.65,647,11190.04167,0,0,0
7945,0.0964,10.37349118,1.99,707,2310.0,7,0,1
987,0.08,10.69194491,16.04,777,3389.958333,1,0,0
5308,0.1253,11.13458902,11.11,702,3690.0,1,1,0
549,0.1166,11.43388226,10.74,677,5519.0,3,0,1
9549,0.2164,11.87756858,8.63,667,8280.041667,9,0,1
7352,0.1025,10.645424900000002,0.44,712,4080.0,0,0,0
8754,0.1191,11.08214255,19.66,702,1949.9583329999998,5,0,0
3102,0.1253,10.71441777,11.01,767,2580.0,7,0,0
9341,0.1531,10.30895266,2.56,702,2430.958333,8,0,0
5545,0.1704,11.73606902,9.66,667,3644.0,1,0,0
4791,0.1114,10.71441777,22.13,732,3720.0,2,1,0
989,0.08,10.69194491,0.95,797,6636.958333,5,0,0
4631,0.1496,11.35040654,11.55,762,4289.958333,0,0,0
8122,0.1457,11.29476946,26.49,692,5160.0,6,0,0
145,0.1059,11.00209984,8.14,707,4800.0,1,0,1
6172,0.2086,10.727663,0.53,662,2029.0416670000002,3,0,1
1533,0.1367,10.71441777,16.29,662,2160.0,0,0,0
1004,0.1008,10.77895629,9.3,707,6329.958333,0,0,1
470,0.0945,10.89673933,11.02,742,3285.0,5,0,0
6591,0.1253,10.42228135,19.21,712,3780.041667,1,1,0
5606,0.0774,10.66895539,23.22,762,8099.0,1,0,0
2218,0.1189,9.998615897999999,17.13,707,3090.041667,1,1,0
7358,0.1136,11.22524339,4.46,697,3330.0,0,1,0
3834,0.0932,10.33475035,5.57,752,4949.958333,0,0,0
7954,0.1375,9.680344001,9.45,642,841.0,0,0,0
5392,0.1114,10.85417971,24.7,737,3240.958333,1,0,0
9458,0.1739,10.91508846,5.78,767,12930.04167,9,0,0
9164,0.1632,10.71441777,13.6,667,1679.9583329999998,4,0,1
6469,0.1253,11.3736634,5.9,752,7230.0,0,0,0
3762,0.1442,10.66895539,7.67,672,4380.0,0,0,0
8615,0.1261,10.95080655,24.17,702,8459.958333,4,0,0
6782,0.1183,12.388394199999999,14.77,757,3750.041667,3,0,0
5908,0.0894,12.07254125,17.22,722,7050.041667,1,0,0
1591,0.1557,10.73639668,12.5,667,1860.0416670000002,1,0,0
7699,0.1095,10.40426284,20.29,742,9599.958333,0,0,1
8889,0.1347,10.12647109,9.65,687,1860.0,4,0,0
4713,0.1531,10.83958091,16.52,662,2459.958333,3,0,0
6671,0.1357,10.65725935,24.99,697,1800.0,1,0,0
3140,0.1126,10.23981692,14.7,682,1619.958333,0,0,0
5387,0.1114,10.6666271,14.21,747,3720.0,0,0,0
5254,0.1357,10.49127422,10.27,692,6210.0,2,0,0
9305,0.1913,11.55166529,16.52,672,5485.0,6,0,0
8259,0.1008,10.77895629,0.75,702,869.0416667000002,0,0,1
1011,0.1039,11.01862914,9.29,692,3090.0,0,0,0
5466,0.1392,11.35040654,9.19,677,2069.958333,2,0,0
2906,0.1663,11.47210347,18.46,682,11490.0,0,0,0
4899,0.1287,11.91839057,2.5,697,5069.958333,0,0,0
1169,0.1039,10.46310334,13.17,697,4229.958333,1,0,1
8519,0.1703,10.73639668,23.22,652,3005.958333,1,0,0
8642,0.1166,11.05089001,17.5,682,3540.0,6,0,0
4177,0.1461,11.35223181,15.15,697,5550.0,0,0,0
8097,0.1059,10.81977828,13.9,697,6090.041667,5,0,1
1940,0.1189,10.23995979,16.11,697,4080.0,2,0,0
9513,0.1253,11.00209984,11.56,722,3614.0,5,0,1
6646,0.1739,11.75194237,11.39,662,4740.0,0,2,0
6600,0.1287,11.40756495,24.76,687,8416.0,1,0,0
5541,0.07400000000000001,10.60221911,8.89,772,9089.958333,2,0,0
1025,0.1103,10.91508846,11.76,692,2430.0,1,1,0
3688,0.1126,12.30517562,9.11,712,4619.958333,0,0,0
5771,0.0705,10.71441777,7.44,772,4740.0,1,0,0
8796,0.1317,11.01862914,13.79,677,2701.0,5,0,0
1008,0.1222,11.00209984,18.08,692,3190.0,1,0,0
2523,0.1505,10.645424900000002,15.43,687,4170.0,2,0,0
6303,0.1531,10.59663473,12.33,682,1440.0,0,0,0
4057,0.08,11.40756495,4.07,777,5160.0,0,0,0
6513,0.1531,10.47333652,19.65,667,3810.041667,0,0,0
730,0.08,10.79059661,0.62,742,7170.041667,4,0,0
1588,0.1083,10.61820051,24.43,717,3900.0,1,0,0
2319,0.0963,11.27720313,9.92,767,3600.0,4,0,0
6294,0.1287,9.757305042,3.89,677,3150.041667,1,0,0
9067,0.1474,11.69524702,24.18,697,3900.0,3,0,0
4798,0.1183,10.858999,20.49,712,4619.958333,1,0,0
4795,0.0774,11.27720313,3.17,782,4590.958333,2,0,0
5141,0.1357,11.15625052,16.3,702,5610.0,2,0,0
8288,0.1418,11.2009507,0.74,657,4260.041667,0,0,0
8133,0.133,9.887358171,23.6,677,1560.041667,5,0,0
4275,0.0774,12.10071213,4.31,787,8730.0,3,0,0
2400,0.0932,10.49127422,20.37,742,3690.0,0,0,1
5092,0.1287,11.25813644,15.88,702,8579.958333,0,0,0
8937,0.1758,10.65725935,9.91,677,931.0416667000002,3,0,0
7781,0.1754,9.169518377000001,8.38,612,659.0,0,1,0
4048,0.1284,10.30895266,4.28,687,4949.958333,0,0,0
8846,0.1778,11.28978191,12.99,672,5610.041667,6,1,0
2175,0.1379,10.71441777,6.72,697,3841.041667,0,0,0
4384,0.0859,10.59663473,6.87,747,3240.0,2,0,0
1147,0.1166,11.01862914,17.59,687,2850.0,2,0,0
2244,0.1379,11.06657586,24.7,687,4080.0,0,0,0
4416,0.1218,11.11988288,14.99,697,3874.958333,1,1,0
2038,0.1189,11.51292546,2.3,717,5520.0,0,0,0
7961,0.1375,10.20507253,1.6,642,450.04166669999995,1,0,0
2408,0.0963,11.08214255,22.45,737,6930.0,0,0,0
1099,0.1103,11.35040654,21.91,717,5189.958333,2,0,0
774,0.1039,10.20359214,21.78,737,4989.0,3,0,0
3823,0.1379,10.89673933,6.71,687,4800.0,2,0,1
6088,0.1218,11.00209984,21.9,742,8617.041667,1,0,0
7319,0.0714,11.03488966,16.51,732,4290.041667,1,0,0
6183,0.1426,11.33857208,16.57,697,3720.041667,0,0,0
6683,0.1218,11.40756495,17.85,722,6961.0,0,0,0
7249,0.1273,10.82697234,18.35,697,3960.0,0,1,0
2027,0.0963,11.12726298,19.11,727,6210.0,3,0,0
2202,0.0963,11.60823564,5.65,777,5370.041667,1,0,0
4349,0.1322,11.19674789,20.31,707,7529.958333,0,0,0
8211,0.1772,11.30684796,25.91,657,2430.041667,0,0,1
8169,0.0838,9.663007082,3.82,722,602.0416667000001,0,0,0
239,0.1091,11.22524339,10.34,697,2669.041667,1,0,0
3124,0.1253,10.818177,3.37,717,2626.0,0,0,0
6593,0.0988,10.71441777,12.91,797,5190.0,2,1,0
6619,0.1496,11.28978191,24.63,677,4412.0,1,0,0
1757,0.1284,11.15625052,11.97,672,7313.0,1,0,0
7677,0.0676,9.552226498,6.05,772,3480.041667,0,0,0
4863,0.1287,11.84942627,18.99,682,3959.958333,0,4,0
619,0.0863,10.645424900000002,2.74,727,2310.041667,0,0,0
3331,0.1095,10.51867319,6.36,722,3690.0,2,0,0
2378,0.1347,11.58058411,13.38,707,5579.958333,0,0,0
382,0.0775,10.08580911,0.0,787,3809.041667,0,0,1
5190,0.1357,10.49127422,19.9,672,2550.0,1,0,1
4187,0.0774,10.858999,2.58,767,3419.958333,0,0,0
587,0.1166,10.4341158,23.96,742,3840.041667,2,0,0
5660,0.0859,11.00209984,14.46,792,4110.041667,0,0,0
7030,0.1148,10.385913699999998,23.41,722,3180.041667,0,0,0
3619,0.0963,10.73413325,0.0,807,7320.0,2,0,1
172,0.0775,9.952277717000001,6.34,752,3029.0,0,0,0
8530,0.1797,11.09741002,24.71,657,6870.0,7,0,1
430,0.1141,11.19821472,21.01,692,2580.0,0,0,0
376,0.1172,10.49127422,11.9,677,2970.0,3,0,0
5798,0.1739,11.251560699999999,23.19,687,9631.041667,1,0,1
3451,0.0768,11.35035948,6.62,772,7200.0,0,0,0
7482,0.1311,12.20607265,7.98,712,6330.041667,0,0,0
4944,0.1392,10.30895266,12.04,692,1444.0,0,0,0
4346,0.1357,11.184421400000002,23.22,702,7980.0,1,0,0
6069,0.1253,12.32385568,12.7,727,9000.0,1,0,0
8361,0.1103,11.184421400000002,6.5,707,990.0416667000002,1,0,0
925,0.1703,11.48246626,16.53,662,5189.958333,3,3,0
7786,0.1375,9.392661928999999,19.3,667,5668.958333,4,1,1
9351,0.1461,10.7254676,19.94,667,10079.95833,5,0,1
1740,0.1221,11.09741002,7.75,727,7380.041667,1,0,0
2780,0.0768,10.54534144,13.45,802,4560.0,0,0,0
1456,0.1083,10.37361617,21.48,717,5990.041667,1,0,0
2108,0.1253,10.30895266,17.76,732,1950.0416670000002,1,0,0
849,0.0976,11.51292546,2.1,702,1770.0,0,0,0
8410,0.1545,10.73639668,21.23,647,4140.0,0,1,0
5179,0.07400000000000001,10.16585182,13.71,767,2879.958333,2,0,0
4556,0.0894,10.20359214,17.73,757,4619.958333,2,0,1
1848,0.1411,10.73630972,12.11,672,2700.041667,0,1,0
271,0.147,11.3736634,5.79,677,4739.0,2,0,1
8922,0.1853,11.98292909,11.27,677,5438.0,6,0,0
8984,0.1632,11.08220409,9.43,712,1919.9583329999998,8,0,0
6568,0.1183,11.91839057,7.06,812,11704.0,0,0,0
2321,0.1843,9.903487553,10.32,697,1545.0,1,0,0
2232,0.1189,10.59663473,21.36,732,4920.041667,1,0,0
6339,0.1183,10.49127422,15.17,742,4804.041667,1,0,0
9326,0.1287,10.54323396,15.08,697,3276.0,4,0,0
9286,0.2086,12.30138283,10.81,667,4860.0,4,0,1
2525,0.1411,11.112447900000001,6.86,682,5249.958333,1,0,0
5372,0.0774,11.28499548,2.19,797,7259.958333,0,0,0
8542,0.1734,11.40756495,25.59,687,4680.0,1,0,0
1562,0.1051,11.00209984,9.94,757,5010.0,0,0,0
142,0.1091,10.57131693,11.78,707,4889.0,0,0,1
6075,0.07400000000000001,10.1266311,6.91,752,2250.041667,0,0,0
5935,0.1565,10.75149944,15.52,662,4110.041667,2,0,0
1582,0.1367,12.429216199999999,10.51,712,3990.0,2,0,0
6462,0.1183,11.14041146,16.44,737,6570.0,2,0,0
7917,0.1754,10.71441777,23.65,652,2670.0,0,0,0
896,0.0976,10.98529272,22.17,742,4590.0,0,0,0
5120,0.1218,10.37349118,24.0,692,5039.958333,0,0,0
7027,0.1322,10.66895539,22.32,687,2310.041667,0,0,0
3904,0.1537,9.61580548,15.04,787,3869.958333,1,0,0
4212,0.1739,10.870471400000001,13.19,662,3030.0,0,0,0
8515,0.1766,12.04355372,26.97,682,9599.958333,0,0,0
1358,0.1241,11.56171563,20.29,747,5585.0,7,0,0
8524,0.0945,11.77528973,3.06,722,4560.0,8,0,1
3950,0.1284,10.71441777,8.32,712,2100.0,0,0,0
2619,0.1316,10.96819829,0.12,722,2070.0,0,0,0
7705,0.1189,11.01205017,2.89,742,3660.0,4,0,1
5862,0.1322,9.798127037,13.67,682,1894.0416670000002,0,0,1
9339,0.0859,11.69524702,12.05,807,6149.958333,0,0,0
940,0.1103,10.81977828,13.82,682,3990.0,0,0,0
3924,0.1411,9.862665558,0.56,682,6540.0,2,0,0
3593,0.0932,10.79949394,8.67,802,4050.0,0,0,0
9249,0.1809,11.26446411,20.42,712,3750.0,7,0,0
4358,0.1253,11.22524339,9.66,712,4714.0,0,0,0
3961,0.0963,11.08214255,11.76,752,7650.0,2,0,1
6661,0.1913,11.73606902,9.96,687,4561.041667,1,0,0
4209,0.1114,10.645424900000002,13.49,712,5369.958333,0,0,0
3642,0.1253,10.73630972,8.9,692,2009.9583329999998,2,0,0
2531,0.1347,11.15961628,20.43,707,4680.0,3,0,0
173,0.0996,11.03488966,11.98,682,1799.0,0,0,0
7641,0.0751,10.57131693,12.86,762,6060.041667,3,0,0
4392,0.16699999999999998,11.40756495,21.8,697,6359.958333,0,0,0
1713,0.1189,10.25765937,24.63,687,2250.041667,2,0,0
7651,0.1136,10.858999,7.89,692,8010.0,0,0,0
8318,0.1545,10.77895629,25.25,677,3479.041667,3,0,0
4866,0.1357,10.1266311,5.09,787,4800.0,0,0,0
9496,0.1635,10.56617553,5.35,692,3390.041667,4,0,0
581,0.0976,10.54534144,3.22,722,2670.041667,0,0,0
5693,0.1148,10.40426284,23.67,757,1800.0,0,0,0
7830,0.1533,10.59663473,11.76,647,1019.958333,2,0,0
7309,0.1099,10.79712359,19.79,697,3060.041667,0,0,0
3293,0.1158,11.19547123,6.38,752,5309.958333,0,0,0
5986,0.0894,10.87804719,18.41,742,4050.041667,3,1,0
8883,0.1189,11.00209984,19.52,702,4891.041667,3,0,0
4154,0.1253,10.22194128,23.26,682,6857.958333,0,1,0
3777,0.1253,10.1266311,2.98,712,1113.0,0,0,0
2577,0.1635,11.06663836,9.51,697,4562.958333,1,0,0
5887,0.1218,11.00209984,24.86,727,5190.041667,0,0,0
1519,0.1146,11.05089001,15.83,727,3660.0,1,1,0
6250,0.1357,10.477851199999998,14.05,697,3480.041667,0,1,0
5533,0.1461,10.93310697,8.81,662,8220.0,0,1,0
2486,0.1726,11.52584169,14.42,662,7170.0,3,0,0
5725,0.1357,9.998797732,19.25,707,1110.041667,0,0,0
5958,0.0894,10.49127422,2.77,762,2700.041667,0,0,0
2673,0.0932,11.05885818,8.35,732,4079.958333,0,0,1
4004,0.16,11.35040654,8.6,672,5220.0,2,0,0
7077,0.1385,10.91508846,13.9,682,4290.041667,1,0,0
6834,0.1531,11.35040654,9.06,662,5250.041667,0,0,0
5235,0.1357,10.08580911,17.5,682,2670.0,1,0,0
845,0.1324,11.22524339,21.06,682,5159.958333,1,0,1
2653,0.0768,10.04324949,4.64,757,12391.0,0,0,0
123,0.1028,10.727663,3.26,687,6509.958333,1,1,1
3160,0.1253,10.1266311,12.34,697,4529.958333,1,0,0
5546,0.1461,11.65268741,10.12,747,3903.0,0,0,0
19,0.1513,11.00209984,2.74,667,1126.958333,3,0,0
998,0.1008,11.30220443,14.79,712,6900.0,0,0,1
4232,0.1114,11.49679608,12.45,732,4890.041667,3,0,0
4858,0.0859,11.46163217,16.16,752,4050.0,2,0,0
7041,0.0774,11.69524702,4.7,767,5730.041667,0,0,0
5891,0.1148,11.03488966,18.66,722,3300.0,0,0,0
5004,0.1218,10.73630972,11.3,747,6930.0,4,0,0
5815,0.1322,11.01862914,17.01,692,4020.0,0,0,0
3808,0.1284,10.92233487,23.09,672,4560.958333,3,0,0
1482,0.1399,10.55059079,10.71,662,4590.0,0,0,0
8912,0.1347,11.46167427,17.36,702,3210.0,4,1,0
6571,0.1287,9.798127037,7.0,737,1140.0,1,0,1
2291,0.1284,10.71441777,6.59,717,2040.0416670000002,3,0,0
5322,0.0859,10.20359214,24.49,767,6000.0,1,0,0
6110,0.0774,11.22524339,4.64,767,5073.0,1,0,0
5471,0.1114,10.37349118,12.98,727,2069.958333,3,0,1
7235,0.0988,11.31447453,8.25,792,8506.0,1,0,0
3245,0.0932,11.52682837,6.86,737,6031.958333,0,1,0
3975,0.0768,10.48793532,3.65,797,9420.0,0,0,0
5150,0.16,11.08214255,13.42,662,5130.0,2,0,0
1328,0.1412,10.23995979,24.77,682,3239.958333,0,0,0
3405,0.1126,11.22524339,12.16,722,7859.958333,0,0,0
8655,0.1103,10.59663473,3.09,677,1291.958333,0,0,0
3446,0.1284,10.81985828,20.69,707,2970.0,0,0,1
2088,0.0963,11.08214255,0.28,752,2280.041667,0,0,0
1199,0.1128,11.65507586,10.12,687,4979.958333,0,0,0
6561,0.0705,11.77528973,4.98,792,7620.0,0,0,0
5803,0.1183,11.33857208,14.67,747,6240.041667,2,0,0
7003,0.1148,10.55841352,3.05,722,1620.041667,1,0,0
6328,0.1461,11.17043516,22.62,712,4140.041667,0,0,0
9173,0.0963,10.57131693,21.17,717,6930.0,0,0,1
6670,0.1148,13.36295384,1.55,742,2970.0,3,1,0
4377,0.1635,11.35040654,19.23,667,3630.0,1,0,0
7973,0.1501,11.03488966,17.03,642,9390.0,4,3,0
5443,0.1565,9.392661928999999,12.0,662,9479.958333,0,1,0
6228,0.1531,11.28978191,24.3,692,4290.0,0,0,0
4109,0.1284,11.15625052,5.26,742,2850.0,0,0,0
1789,0.1126,11.00209984,12.2,762,3690.0,2,0,0
1662,0.102,11.41861479,13.32,737,1740.0,0,0,0
9392,0.1357,11.04802877,3.38,692,6480.0,5,0,0
8981,0.1379,11.37939407,24.99,692,2640.958333,1,0,0
3978,0.1347,10.77687078,13.23,677,3179.958333,1,0,0
6430,0.0774,11.73606902,0.74,802,7141.041667,0,0,0
6757,0.1148,10.1266311,16.7,722,3390.041667,0,0,0
4039,0.1221,11.55214618,8.75,707,6600.0,1,1,0
490,0.1071,10.35456317,4.74,722,1290.041667,0,0,0
6411,0.16,11.00209984,19.06,722,3570.0,0,0,0
4588,0.1114,11.49272276,11.64,707,5759.958333,1,1,0
9541,0.1025,11.17043516,13.98,732,3750.0,4,0,0
8623,0.1513,10.98536052,17.59,647,3480.0,3,0,1
2195,0.0963,11.35040654,22.11,752,5550.0,0,0,0
7752,0.1122,10.23995979,3.51,672,1139.0,4,1,0
8239,0.1387,10.38899537,18.37,657,3720.0,2,0,0
6605,0.1148,11.83500896,22.09,792,4208.041667,1,0,0
1661,0.1272,11.00209984,21.82,692,9750.0,2,1,0
7695,0.1565,11.48452599,3.6,722,5657.958333,0,0,1
6796,0.0705,11.15625052,7.92,782,8760.0,2,0,0
5592,0.07400000000000001,10.81977828,5.23,787,4500.0,0,0,0
9493,0.1392,10.34174248,13.24,682,5851.0,5,2,0
8343,0.1418,10.89673933,10.47,662,2610.0,4,1,0
7450,0.0676,11.65268741,6.25,777,5160.0,1,0,0
2497,0.1284,10.645424900000002,14.2,717,1620.0,0,0,0
2382,0.1411,12.47125984,7.82,712,8760.0,0,0,0
5619,0.1114,10.818177,19.31,722,3241.958333,0,0,0
68,0.1375,10.46310334,17.38,707,2699.958333,0,0,0
4623,0.1253,10.71441777,11.57,697,5070.0,1,2,0
3314,0.1426,11.40756495,22.81,687,4505.0,1,0,1
1135,0.1071,11.40756495,13.57,702,5010.0,1,0,0
5580,0.1565,9.952277717000001,18.91,697,1170.0,0,0,0
3750,0.0963,11.49272276,16.44,742,5460.0,4,0,0
136,0.0901,11.69524702,12.16,742,9719.958333,0,0,0
230,0.1375,10.75790288,24.08,667,2820.0,1,0,0
4723,0.1114,10.49127422,11.77,737,5460.0,1,0,0
3707,0.0932,11.45301621,12.29,782,7236.0,0,0,0
9111,0.1253,10.91508846,16.25,717,5549.958333,0,0,1
2832,0.1221,11.184421400000002,9.87,782,4829.958333,0,0,0
7206,0.1136,11.15665044,0.34,697,2160.0,2,0,0
2017,0.1253,10.77561739,20.59,722,11100.04167,0,0,0
9276,0.1287,11.51288546,15.29,707,3060.0,4,0,0
2547,0.1379,11.22524339,12.78,682,6840.0,1,0,0
9363,0.16,11.69524702,20.15,742,8100.0,4,0,0
770,0.1008,10.77895629,2.65,742,4260.0,0,0,0
1153,0.0832,11.51292546,7.87,757,10470.0,0,0,0
2096,0.08,11.40756495,8.97,757,4470.041667,0,0,0
5374,0.0859,11.02179789,7.9,747,2759.958333,1,0,0
745,0.1229,11.40756495,8.81,677,2340.041667,1,0,0
4008,0.1189,10.91501573,16.21,737,5009.958333,0,0,0
4653,0.1253,12.05989014,6.45,722,3420.0,1,0,0
6262,0.1496,10.6873891,12.66,662,5250.041667,1,0,1
6637,0.1322,10.54534144,4.8,712,1890.0416670000002,1,0,0
2846,0.1442,11.00209984,20.64,712,4529.958333,1,0,1
5349,0.1287,10.96819829,4.3,707,3239.958333,0,0,0
7024,0.1565,11.11986806,13.58,677,4830.0,0,0,1
7561,0.1459,11.58058411,16.63,687,4170.041667,2,0,0
5341,0.1531,10.81977828,22.9,662,2610.0,0,0,0
1644,0.1051,10.858999,19.87,707,6840.0,0,0,0
650,0.1229,10.81977828,20.04,692,3360.0,1,0,0
7498,0.1136,11.28978191,23.1,722,5310.041667,0,0,0
1212,0.0976,11.26446411,13.91,727,4788.0,3,0,1
1096,0.1197,11.41861479,7.89,677,5249.958333,3,1,0
2642,0.1442,10.30895266,18.04,697,8910.958333,1,0,0
6261,0.1183,10.645424900000002,14.46,697,3090.041667,1,0,0
7675,0.1385,10.69194491,20.54,672,3120.041667,2,0,0
6743,0.1148,11.60823564,11.04,772,4920.041667,0,0,0
5828,0.06,11.35040654,9.98,677,5705.041667,3,1,0
5628,0.1114,10.59663473,16.71,752,5557.041667,2,0,0
1727,0.1158,11.26446411,14.52,742,4710.0,2,0,0
391,0.0712,10.46310334,11.59,772,5970.041667,0,0,0
2268,0.1505,9.903487553,12.0,667,2490.041667,1,0,0
6942,0.0774,11.00209984,4.94,767,2644.041667,0,0,0
5207,0.1218,10.96819829,19.7,712,3117.041667,1,0,0
9494,0.1183,11.40756495,17.81,712,8160.041667,1,0,0
6895,0.0859,10.34817337,12.0,747,3150.041667,0,0,0
